code,d_code,name,min_score,archive,f_code,has_peo,category
C00097,ACC,M.Sc. ACCOUNTING,40,0,MS,0,POST GRADUATE
C00098,ACC,M.Sc. ACCOUNTING AND FINANCE,40,0,MS,0,POST GRADUATE
C00099,ACC,PhD ACCOUNTING AND FINANCE,40,0,MS,0,POST GRADUATE
C00100,BIO,M.Sc. BIOLOGY (CYTOGENETICS AND PLANT BREEDING),40,0,SC,0,POST GRADUATE
C00101,BIO,M.Sc. BOTANY AND ZOOLOGY,40,0,SC,0,POST GRADUATE
C00102,BIO,M.Sc. ZOOLOGY,40,0,SC,0,POST GRADUATE
C00103,BIO,M.Sc. APPLIED PARASITOLOGY,40,0,SC,0,POST GRADUATE
C00104,BIO,M.Sc. HYDROBIOLOGY AND FISHERIES,40,0,SC,0,POST GRADUATE
C00105,BIO,M.Sc. PARASITOLOGY,40,0,SC,0,POST GRADUATE
C00106,BIO,M.Sc. PURE AND APPLIED PARASITOLOGY,40,0,SC,0,POST GRADUATE
C00107,BIO,PhD APPLIED ENTONOMOLOGY,40,0,SC,0,POST GRADUATE
C00108,BIO,PhD PLANT PATHOLOGY,40,0,SC,0,POST GRADUATE
C00109,BIO,PhD PLANT PATHOLOGY AND BIOLOGICAL CONTROL OF PLANT DISEASE,40,0,SC,0,POST GRADUATE
C00110,BSM,POSTGRADUATE DIPLOMA IN MANAGEMENT (PGDM),40,0,MS,0,POST GRADUATE
C00111,CHM,M.Sc. ANALYTICAL CHEMISTRY,40,0,SC,0,POST GRADUATE
C00112,CHM,M.Sc. CHEMISTRY,40,0,SC,0,POST GRADUATE
C00113,CHM,M.Sc. INORGANIC CHEMISTRY,40,0,SC,0,POST GRADUATE
C00114,CHM,M.Sc. ORGANIC CHEMISTRY,40,0,SC,0,POST GRADUATE
C00115,CHM,M.Sc. PHYSICAL CHEMISTRY,40,0,SC,0,POST GRADUATE
C00116,ASS,M.Ed. CURRICULUM AND INSTRUCTION,40,0,ED,0,POST GRADUATE
C00117,ASS,M.Ed. LANGUAGE EDUCATION,40,0,ED,0,POST GRADUATE
C00118,SME,M.Ed. MATHEMATICS EDUCATION,40,0,ED,0,POST GRADUATE
C00119,SME,M.Ed. SCIENCE EDUCATION,40,0,ED,0,POST GRADUATE
C00120,ASS,M.Ed. SOCIAL STUDIES EDUCATION,40,0,ED,0,POST GRADUATE
C00121,ASS,PhD LANGUAGE EDUCATION,40,0,ED,0,POST GRADUATE
C00122,SME,PhD MATHEMATICS EDUCATION,40,0,ED,0,POST GRADUATE
C00123,SME,PhD SCIENCE EDUCATION,40,0,ED,0,POST GRADUATE
C00124,ASS,PhD SOCIAL STUDIES EDUCATION,40,0,ED,0,POST GRADUATE
C00125,ECO,M.Sc. ECONOMICS,40,0,SS,0,POST GRADUATE
C00126,ECO,PhD ECONOMICS,40,0,SS,0,POST GRADUATE
C00127,EDF,M.Ed. EDUCATIONAL MANAGEMENT,40,0,ED,0,POST GRADUATE
C00128,EDF,M.Ed. GUIDANCE AND COUNSELLING,40,0,ED,0,POST GRADUATE
C00129,HKH,M.Sc. (Ed) SPORT MANAGEMENT,40,0,ED,0,POST GRADUATE
C00130,HKH,M.Sc. EXERCISE AND SPORTS SCIENCE,40,0,ED,0,POST GRADUATE
C00131,EDF,PhD GUIDANCE AND COUNSELLING,40,0,ED,0,POST GRADUATE
C00132,EDF,POSTGRADUATE DIPLOMA IN EDUCATION (PGDE),40,0,ED,0,POST GRADUATE
C00133,ENG,M.A. LITERATURE IN ENGLISH,40,0,AR,0,POST GRADUATE
C00134,GEO,M.Sc. DEVELOPMENT STUDIES,40,0,ES,0,POST GRADUATE
C00135,GEO,M.Sc. GEOGRAPHY ( HYDROLOGY AND WATER RESOURCES),40,0,ES,0,POST GRADUATE
C00136,GEO,M.Sc. GEOGRAPHY (CLIMATOLOGY),40,0,ES,0,POST GRADUATE
C00137,GEO,M.Sc. GEOGRAPHY (ENVIRONMENTAL AND RESOURCE MANAGEMENT),40,0,ES,0,POST GRADUATE
C00138,URP,MASTER OF URBAN AND REGIONAL PLANNING (MURP),40,0,ES,0,POST GRADUATE
C00139,GEO,PhD PLANNING,40,0,ES,0,POST GRADUATE
C00140,GEO,PhD GEOGRAPHY,40,0,ES,0,POST GRADUATE
C00141,HST,M.A. HISTORY,40,0,AR,0,POST GRADUATE
C00142,HST,PhD HISTORY,40,0,AR,0,POST GRADUATE
C00143,LAN,M.A. FRENCH,40,0,AR,0,POST GRADUATE
C00144,LAN,M.A. LANGUAGES AND LINGUISTICS,40,0,AR,0,POST GRADUATE
C00145,LAN,PhD FRANCOPHONE AFRICAN/CARIBBEAN LITERATURES,40,0,AR,0,POST GRADUATE
C00146,LAN,PhD FRENCH,40,0,AR,0,POST GRADUATE
C00147,LAN,PhD FRENCH LANGUAGE,40,0,AR,0,POST GRADUATE
C00148,LAN,PhD METROPOLITANT FRENCH LITERATURE,40,0,AR,0,POST GRADUATE
C00149,LAW,LL.M (LAW),40,0,LW,0,POST GRADUATE
C00150,LAW,PhD LAW,40,0,LW,0,POST GRADUATE
